code,name,latitude,longitude,Z,FindNearestRank,DistanceKilometers,Direction
7030,de Bordeaux / Marie-Anne,45.53340912723174,-73.57065707445145,46,1,8.78552562445642e-003,S
6750,des Érables / Rachel,45.5334955551535,-73.56693148612976,44,1,6.75257626152491e-003,NE
6120,Ontario / du Havre,45.5336609,-73.5521968,20,1,1.23527199511694e-002,NW
5002,St-Charles / Montarville,45.533703286938504,-73.51528286933899,12,1,7.78581424476964e-003,NE
6131,Fullum / Sherbrooke,45.533924,-73.562425,41,1,6.97476573366039e-003,NW
6166,de Brébeuf / St-Grégoire,45.5341,-73.58852,59,1,7.59845618052627e-003,N
6907,Boyer / Rosemont,45.534136,-73.595478,62,1,5.86618192470858e-003,NE
6152,Chabot / du Mont-Royal,45.53418509490266,-73.57358872890472,48,1,4.19721992694676e-003,SE
6251,de Gaspé / Dante,45.534357948228354,-73.61223131418228,58,1,5.06602812858129e-003,W
7078,Hochelaga / Chapleau,45.53445294687473,-73.55965197086334,30,1,1.01778531495804e-002,SE
6269,Bercy / Ontario,45.53455710466228,-73.5507497191429,21,1,7.13194051084894e-003,NW
7045,Casgrain / Mozart,45.53472725603326,-73.6147928237915,57,1,7.1587341887341e-003,N
6311,Drolet / St-Zotique,45.53488214147823,-73.60941231250763,59,1,1.04659079021776e-002,S
6121,Gascon / de Rouen,45.53513390280753,-73.55486422777176,20,1,1.00163642131877e-002,NE
6344,St-Dominique / Jean-Talon,45.535189,-73.617459,57,1,3.8474870214242e-003,NW
6128,Hogan / Ontario,45.535295480380306,-73.55116009712219,21,1,1.19489610211334e-002,SW
6163,Marquette / Laurier,45.53543,-73.5822,51,1,7.28804823409256e-003,W
6912,de Chateaubriand / Beaubien,45.53550590629069,-73.60388159751892,61,1,1.15775510450641e-002,SW
6133,Terrasse Mercure / Fullum,45.535690028316374,-73.56592297554016,44,1,1.00459989989218e-002,SE
6161,Cartier / St-Joseph,45.53576,-73.57867,50,1,1.02567878531859e-002,NW
6385,de Bordeaux /Gilford,45.53611005443118,-73.5762870311737,50,1,8.12848164663658e-003,S
6321,Gary Carter / St-Laurent,45.536152810858084,-73.62242102622986,56,1,1.24279617578242e-002,NW
6257,de St-Vallier / St-Zotique,45.536261178519666,-73.60754549503326,59,1,3.75309465012802e-003,E
6151,Parthenais / Mont-Royal,45.536368888563324,-73.57141681015491,48,1,1.04526265219275e-002,N
5005,St-Charles / St-Sylvestre,45.53637796305584,-73.51264223456383,12,1,1.03078794369511e-002,NW
6130,Sherbrooke / Frontenac,45.5367,-73.56081,40,1,4.12577693933332e-003,SW
6250,Marché Jean-Talon (Henri-Julien / Jean-Talon),45.53678525128436,-73.6148879583925,56,1,1.24766693730596e-002,NE
6249,Bélanger / St-Denis,45.53696,-73.61199,57,1,1.19171655877257e-002,SW
6258,Parc Père-Marquette (Chambord / Rosemont),45.53702583434782,-73.59316617250443,63,1,7.14876016407244e-003,NE
6167,Marquette / St-Grégoire,45.53703,-73.58584,58,1,5.94978571091188e-003,N
6910,Boyer / Beaubien,45.537041,-73.602026,61,1,6.48475696320696e-003,NW
7027,Terrasse Guindon / Fullum,45.537114135456825,-73.56913894414902,47,1,4.0465895998679e-003,SW
6150,Messier / du Mont-Royal,45.53711414,-73.5710031,48,1,4.55348676197183e-003,SW
6262,de la Roche /  de Bellechasse,45.537159225331315,-73.59747648239136,64,1,8.63052349140411e-003,S
5006,Collège Édouard-Montpetit,45.53722603812578,-73.49506705999374,20,1,8.96912720432191e-003,NE
6236,Laurier / de Bordeaux,45.53725879867612,-73.57917040586472,50,1,3.66430753057658e-003,N
6127,Henri-Julien / de Castelnau,45.537877,-73.618323,57,1,4.48107257008711e-003,N
6134,Gascon / Rachel,45.537964,-73.562643,40,1,7.31675414283678e-003,SW
7029,Cartier / Masson,45.53805998459642,-73.58337676181691,55,1,7.97710260736175e-003,NE
6255,Boyer / St-Zotique,45.53848,-73.60556,60,1,8.5186209604875e-003,NW
6265,Parthenais / St-Joseph,45.53854352327858,-73.5761334747076,50,1,7.14941073523316e-003,E
6149,Chapleau / du Mont-Royal,45.53867,-73.56936,47,1,8.96700901474879e-003,N
6260,Dandurand / Papineau,45.538699774322616,-73.58622193336485,60,1,5.99407462704445e-003,N
6322,St-Dominique / Gounod,45.538737949470644,-73.62802147865295,53,1,8.16870605319343e-003,W
6103,Lespérance / de Rouen,45.538799,-73.552496,22,1,5.45442684896351e-003,S
6197,de Bordeaux / Masson,45.53898439552301,-73.5824453830719,56,1,5.14426416009629e-003,SW
6253,Berri / Jean-Talon,45.53903177583418,-73.614318180189,57,1,9.28324290244753e-003,SW
7035,Fullum / Gilford,45.53922374455291,-73.57383679656778,50,1,9.26735557598388e-003,SE
6002,Ste-Catherine / Dézéry,45.53929155936048,-73.54103073477745,19,1,9.31199635842313e-003,N
6328,Henri-Julien / Villeray,45.539487469364325,-73.62355560064316,56,1,1.07087492691238e-002,N
6323,Guizot / St-Laurent,45.53963159810423,-73.63444805145264,50,1,7.81693904855972e-003,SE
5004,St-Charles / Charlotte,45.539824,-73.508752,12,1,3.59668140637633e-003,S
6327,Faillon / St-Denis,45.53982885720648,-73.62023502588272,58,1,4.62596363237267e-003,SE
6162,Fullum / St-Joseph,45.5398326,-73.57555881,51,1,6.87305587138533e-003,SW
6268,Chambord / Beaubien,45.539932183126695,-73.59934329986572,61,1,7.93036317678699e-003,N
7064,Clark / de Liège,45.539983846015616,-73.6381347477436,47,1,1.94900404739496e-003,NE
6254,Boyer / Bélanger,45.54006,-73.60897,59,1,6.72955396962957e-003,S
7061,Lajeunesse / de Castelnau,45.540396208099985,-73.61681789159775,58,1,4.99294032125998e-003,NW
6330,de Gaspé / Jarry,45.540780049797995,-73.63040059804916,51,1,6.05222543693162e-003,N
6259,Dandurand / de Lorimier,45.540881,-73.584157,60,1,5.35052547757933e-003,S
6393,Dézéry / Ontario,45.54111008519643,-73.54754984378815,20,1,8.53619398332537e-003,SE
6421,Cartier / Rosemont,45.54124722370603,-73.59104454517365,64,1,3.81309438701866e-004,NE
7063,Henri-Julien / Jarry,45.54140622907085,-73.63007068634033,51,1,7.98763332651851e-003,NE
6386,Métro Préfontaine (Moreau / Hochelaga),45.5414350841351,-73.55431437492369,29,1,5.37992549497799e-003,NW
6389,Boyer / Jean-Talon,45.541484,-73.612441,57,1,5.4061336049273e-003,SW
6022,Angus (Molson / William-Tremblay),45.54172920185872,-73.56549382209778,44,1,9.18505424028182e-003,SE
6329,Gounod / St-Denis,45.54181643887568,-73.62611174583435,55,1,8.49171191849608e-003,NE
6904,Fabre / Beaubien,45.542055,-73.597793,61,1,7.30373730722972e-003,NE
6734,Lajeunesse / Villeray (place Tapéo),45.54211889,-73.6225471,57,1,5.39024483632458e-003,SE
6332,de Gaspé / de Liège,45.54248521237199,-73.63634169101715,42,1,7.32359114482149e-003,E
6264,Chabot / de Bellechasse,45.5425697477813,-73.59214425086974,64,1,9.08652626525234e-003,SE
7018,Joliette / Ste-Catherine,45.54286796890454,-73.53822447359562,16,1,9.44647466742965e-003,NE
6336,Faillon / St-Hubert,45.54297175887712,-73.61793905496597,57,1,6.36573755704644e-003,S
6276,Chambord / Bélanger,45.54299336219576,-73.60637202858925,59,1,1.08523709335743e-002,SW
6331,Guizot / St-Denis,45.543347467582954,-73.632353246212,50,1,5.04383577275335e-003,E
6270,Fabre / St-Zotique,45.54345172630376,-73.60101029276848,60,1,1.02893448484401e-002,N
7065,de Lanaudière / Bélanger,45.54365085053057,-73.60565051436424,59,1,1.11963339065021e-002,N
7020,St-Germain / Hochelaga,45.5436987529516,-73.55367332696915,30,1,8.24924595811883e-003,NW
7039,du Mont-Royal / Augustin-Frigon,45.543763151117474,-73.56772005558014,49,1,1.72293717489848e-003,SE
7002,Tolhurst / Fleury,45.54410128430579,-73.66738557815552,30,1,1.0306550406458e-002,NE
6391,Aylwin / Ontario,45.54431114893366,-73.54554891586304,20,1,9.24236622571471e-003,NW
6905,"Parc Rosemont (Dandurand / d'Iberville)",45.544377,-73.581018,60,1,1.85540786286017e-003,W
6916,Parc du Pélican (2e avenue / St-Joseph),45.544513,-73.571564,50,1,1.11780607631128e-002,NW
6346,Congres,45.54459352523215,-73.53779464960098,15,1,6.81303636559898e-003,E
6261,Louis Hémon / Rosemont,45.54459855947176,-73.58822286128998,60,1,7.80250079646407e-003,E
6335,du Rosaire / St-Hubert,45.54467,-73.621581,56,1,1.17142874884229e-002,SW
6267,de Bordeaux / Beaubien,45.54475,-73.5949,61,1,9.05653799490419e-003,NW
6275,Chambord / Jean-Talon,45.54484558108033,-73.61053615808486,58,1,9.14955892644684e-003,SW
6340,de la Roche / Everett,45.544867,-73.614841,57,1,9.21057124815359e-003,SE
6372,1ère avenue / Masson,45.5451997,-73.57645065,53,1,1.13055714499858e-003,NW
6384,Darling / Sherbrooke,45.54545890380305,-73.55666935443878,41,1,4.69861233471769e-003,S
6324,de Liège / Lajeunesse,45.545603545552744,-73.63474041223526,43,1,4.64742839650013e-003,NW
6381,Omer-Lavallée / du Midway,45.5457759528664,-73.56217458844185,46,1,9.54514346573977e-003,NE
6272,Chabot / St-Zotique,45.5460938219615,-73.59927892684937,59,1,9.46085753639128e-003,SW
6410,Métro Crémazie (Crémazie / Lajeunesse),45.54640752148169,-73.63842844963074,39,1,9.31077154574041e-003,NE
6266,Louis-Hébert / Belllechasse,45.5468001130256,-73.5888934135437,61,1,9.73614546833554e-003,NW
6387,Métro Joliette  (Joliette / Hochelaga),45.54690718297082,-73.5515570640564,27,1,8.47575307647795e-003,SE
6273,Cartier / Bélanger,45.546939,-73.602616,57,1,1.01109023682624e-002,SW
6371,4e avenue / Masson,45.546978,-73.575515,54,1,1.37695152808287e-002,SE
6394,Valois / Ontario,45.54716076886967,-73.54377329349518,20,1,8.79455386696886e-003,S
6333,Leman / de Chateaubriand,45.547218,-73.631103,47,1,9.47683704540903e-003,NE
6373,7e avenue / St-Joseph,45.547226645250745,-73.56986984610558,50,1,9.44660766733774e-003,NE
6367,3e avenue / Dandurand,45.547362,-73.579221,59,1,8.88693795518915e-003,SE
6923,Marquette / Jean-Talon,45.54740777921938,-73.60766887664795,56,1,1.06989777881659e-002,N
7006,Clark / Fleury,45.54764847825576,-73.6655656993389,29,1,8.09619949450657e-003,NW
6362,1ère avenue / Rosemont,45.547997,-73.58523,65,1,9.08556670150175e-003,S
6733,Rousselot / Villeray,45.5488588257062,-73.6166113615036,55,1,1.18667267797388e-002,N
6185,des Érables / Bélanger,45.54912085535069,-73.60087350010872,56,1,5.97428101171466e-003,NE
6277,Elsdale / Louis-Hébert,45.54918032376485,-73.59385818243027,60,1,7.940773515451e-003,W
7019,"Jeanne d'Arc / Ontario",45.549604526934075,-73.54193866252899,20,1,5.48592762681899e-003,SE
6361,Molson / Beaubien,45.54968589617967,-73.59115451574326,61,1,1.36065961207839e-002,SW
7043,Ernest-Gendreau / du Mont-Royal,45.549713734001415,-73.56384828686714,48,1,1.15551770643608e-002,NE
6924,de Bordeaux / Jean-Talon,45.54975479298636,-73.60556602478027,54,1,6.15294839658356e-003,NW
7004,Émile-Journault / de Chateaubriand,45.54983321292286,-73.64063255488873,37,1,4.65445908717361e-003,S
6364,de Chambly / Rachel,45.54991069359101,-73.55826258659361,44,1,1.13498334786914e-002,NW
6700,de la Salle / Ste-Catherine,45.54992008517989,-73.53416427969933,14,1,8.88314177054163e-003,N
6917,Basile-Routhier / Chabanel,45.549985826258116,-73.6479663848877,36,1,4.17766526399018e-003,E
6278,Louis-Hébert / St-Zotique,45.55001,-73.59576,59,1,5.81437440012271e-003,W
6368,10e avenue / Masson,45.55031640880025,-73.57335805892944,55,1,1.13069319068982e-002,N
6082,6e avenue / Rosemont,45.55052513498631,-73.58298182487488,68,1,1.22019232670533e-002,NE
6388,"d'Orléans / Hochelaga",45.550668,-73.549502,27,1,7.93104570906939e-003,SW
6343,Marquette / Villeray,45.55068361610596,-73.61529305577278,54,1,9.26868747874398e-003,SE
6210,Métro Sauvé (Berri / Sauvé),45.550692068419764,-73.65636706352234,38,1,1.02960130704488e-002,SW
6189,Chabot / Everett,45.55072306022627,-73.60957056283951,54,1,1.09429832834605e-002,S
6918,9e avenue / Dandurand,45.550769,-73.57711,59,1,7.44468625055008e-003,N
7008,Rousselot / Jarry,45.55076907833167,-73.62091094255447,52,1,9.35264738618263e-003,NE
6380,Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal),45.551584,-73.561916,47,1,9.72533674921322e-003,N
6279,Louis-Hébert / Bélanger,45.55158518908433,-73.59916493296623,56,1,9.05587925863057e-003,N
6358,1ère  avenue /St-Zotique,45.551937362101,-73.59392791986465,59,1,7.32351856994807e-003,S
6737,Jacques-Casault / Christophe-Colomb,45.552123,-73.630103,43,1,9.14791416617939e-003,SE
6398,Desjardins / de Rouen,45.55223975957034,-73.54412734508514,21,1,6.53000456371741e-003,NW
6919,10e Avenue / Rosemont,45.552649,-73.581185,70,1,8.31065653682217e-003,NW
6376,16e avenue / St-Joseph,45.55292309731551,-73.56575198471546,49,1,6.37085201138089e-003,W
7017,Bennett / Ste-Catherine,45.55302673666147,-73.53238195180893,15,1,1.29853500378894e-002,NE
6925,Louis-Hébert / Jean-Talon,45.553139429376344,-73.60271081328392,52,1,1.61515603649272e-003,S
6397,Marché Maisonneuve,45.55319389744088,-73.5398143529892,18,1,7.85770204608426e-003,S
6360,8e avenue / Beaubien,45.553215,-73.58752,63,1,1.01223716134281e-002,S
6374,Laurier / 15e avenue,45.553215158882175,-73.569495677948,52,1,1.21212682345242e-002,SW
6412,Complexe sportif Claude-Robillard (Émile-Journault),45.553262,-73.638615,37,1,9.76798278690253e-003,NE
6417,Desjardins / Hochelaga,45.553490653554725,-73.54829013347626,25,1,6.59108047591664e-003,NW
6383,Bourbonnière / du Mont-Royal,45.55357073967113,-73.56049418449402,46,1,6.84322720957393e-003,SE
6422,Fleury / Lajeunesse,45.5536,-73.6616,32,1,8.30312572968592e-003,SW
7041,15e avenue / Masson,45.553913774821154,-73.57141882181168,53,1,5.82888568091891e-003,NW
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421375524564,-73.55155974626541,30,1,9.46928579341541e-003,SE
7046,15e avenue / Dandurand,45.55479651443991,-73.57432097196579,58,1,4.23875940115776e-003,W
6345,Louis-Hémon / Villeray,45.55496126357668,-73.61073732376097,53,1,8.62279178434138e-003,NW
6703,Jardin Botanique (Pie-IX / Sherbrooke),45.555205239939916,-73.55582308082374,42,1,8.68743798075311e-004,NW
7003,St-Charles / Sauvé,45.5560649285589,-73.65350246429443,41,1,3.99866070209327e-003,SW
6355,Ontario / Sicard,45.55626186680846,-73.53744059801102,19,1,4.80690347203427e-003,W
6736,Basile-Routhier / Gouin,45.55656215749652,-73.67011472582817,22,1,1.36452240364161e-002,SW
6357,12e avenue / St-Zotique,45.556905,-73.58925,59,1,7.29150564732586e-003,SE
6370,"d'Orléans / Masson",45.557192,-73.569847,52,1,1.18837624014114e-002,N
6006,18e avenue / Rosemont,45.55789545752947,-73.5765291005373,60,1,5.98993618304598e-003,NE
6076,Ville-Marie / Ste-Catherine,45.55792114867545,-73.52914720773697,14,1,1.59400396854224e-003,W
6033,16e avenue / Beaubien,45.55846014650325,-73.58342975378036,62,1,1.17630146911189e-002,NE
6710,de la Roche / Fleury,45.558999740253725,-73.6584135890007,33,1,7.75722093678501e-003,SE
6395,Pierre-de-Coubertin / Aird,45.559017919299556,-73.54848057031631,27,1,8.15180441769253e-003,SW
6347,Métro St-Michel (Shaughnessy / St-Michel),45.559199,-73.599658,50,1,6.83139384394852e-003,SE
6720,Ontario / Viau,45.5594818,-73.535496,18,1,1.28619461138388e-002,NE
6930,Paul Boutet / des Regrattiers,45.55984236120471,-73.61544728279114,50,1,6.11682855508481e-003,SE
6726,Hamel / Sauvé,45.560742,-73.65041,40,1,1.01634230218222e-002,N
6735,François-Perrault / L.-O.-David,45.56129965944617,-73.6014300584793,50,1,5.9411784023654e-003,S
6704,19e avenue / St-Zotique,45.561594,-73.585643,57,1,8.19623760958567e-003,N
7023,CHSLD St-Michel (Jarry / 8e avenue),45.561690269046075,-73.61051201820374,50,1,7.86923291399098e-003,E
6701,de Marseille / Viau,45.5639212,-73.5489124,29,1,5.45918570188952e-003,NW
6716,Francis / Fleury,45.563947,-73.655573,33,1,4.23741761961207e-003,W
6731,28e avenue / Rosemont,45.564353,-73.571244,56,1,2.48910209432789e-003,N
6723,26e avenue / Beaubien,45.564944,-73.577639,59,1,8.23598933975475e-003,NW
7005,Marquette / Fleury,45.56735205736566,-73.65378744900227,36,1,7.31656142744242e-003,SE
6713,30e avenue / St-Zotique,45.56822507,-73.57943594,53,1,1.20895594291088e-002,SE
6702,"Chauveau / de l'Assomption",45.569789,-73.548081,30,1,3.43590615056127e-003,W
6730,35e avenue / Beaubien,45.570081,-73.573047,51,1,1.08561233867358e-002,SW
6722,Pierre-de-Coubertin / Louis-Veuillot,45.57278890699134,-73.54031324386597,28,1,1.20380191605055e-002,SW
6753,St-Zotique / 39e avenue,45.573541425148306,-73.5749227526685,49,1,6.00932818199821e-003,W
7009,CHSLD Benjamin-Victor-Rousselot (Dickson / Sherbrooke),45.573797819677914,-73.55034470558167,32,1,7.71881998940389e-003,SW
6226,Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),45.575707,-73.561562,41,1,1.21686773972471e-002,SE
7075,CHSLD Éloria-Lepage (de la Pépinière / de Marseille),45.57694445420869,-73.54045271873474,30,1,8.21235118572222e-003,S
6721,Métro Cadillac (Sherbrooke / de Cadillac),45.57713595014113,-73.54628920555115,33,1,6.59497829620942e-003,SE
7044,Hôpital Santa Cabrini (St-Zotique / Jeanne-Jugan),45.5793249650848,-73.5705041885376,43,1,8.79013378966773e-003,NE
6739,de Repentigny / Sherbrooke,45.58077,-73.544766,33,1,7.31610353542125e-003,N
7016,Métro Langelier (Sherbrooke / Langelier),45.582757156033914,-73.54244291782379,33,1,7.01083565395246e-003,SW
